Date,Open,High,Low,Close,Adj Close,Volume
2013/9/3,3.32,3.35,3.25,3.27,3.27,15543600
2013/9/4,3.28,3.34,3.25,3.31,3.31,29576000
2013/9/5,3.32,3.49,3.3,3.41,3.41,23102100
2013/9/6,3.54,3.6,3.43,3.57,3.57,35974800
2013/9/9,3.63,3.72,3.62,3.69,3.69,23646200
2013/9/10,3.78,3.87,3.77,3.87,3.87,33201100
2013/9/11,3.87,3.89,3.74,3.82,3.82,24009100
2013/9/12,3.76,3.8,3.69,3.75,3.75,28947700
2013/9/13,3.75,3.87,3.72,3.83,3.83,25331400
2013/9/16,3.9,3.9,3.79,3.82,3.82,30569700
2013/9/17,3.83,3.9,3.77,3.85,3.85,25590700
2013/9/18,3.85,3.95,3.83,3.93,3.93,24046300
2013/9/19,3.96,4,3.92,3.95,3.95,24274700
2013/9/20,3.91,3.96,3.79,3.83,3.83,94572300
2013/9/23,3.81,3.87,3.77,3.79,3.79,20920500
2013/9/24,3.79,3.89,3.75,3.8,3.8,21462700
2013/9/25,3.82,3.94,3.79,3.91,3.91,23559200
2013/9/26,3.94,3.98,3.88,3.89,3.89,17460300
2013/9/27,3.87,3.91,3.83,3.86,3.86,11436100
2013/9/30,3.79,3.86,3.75,3.81,3.81,16556900
2013/10/1,3.82,3.94,3.81,3.86,3.86,26056400
2013/10/2,3.83,3.94,3.82,3.9,3.9,18583300
2013/10/3,3.93,3.94,3.86,3.9,3.9,25498500
2013/10/4,3.91,3.95,3.89,3.91,3.91,17134400
2013/10/7,3.87,3.91,3.83,3.86,3.86,16734000
2013/10/8,3.87,3.89,3.68,3.72,3.72,35910400
2013/10/9,3.75,3.75,3.55,3.65,3.65,36053700
2013/10/10,3.72,3.8,3.72,3.79,3.79,24019400
2013/10/11,3.78,3.85,3.75,3.83,3.83,17384600
2013/10/14,3.87,4.05,3.85,3.97,3.97,63648400
2013/10/15,4.03,4.1,4.01,4.02,4.02,52027500
2013/10/16,4.1,4.1,4.03,4.09,4.09,34138300
2013/10/17,4.12,4.13,4.06,4.09,4.09,45838000
2013/10/18,3.56,3.66,3.51,3.53,3.53,108913700
2013/10/21,3.56,3.56,3.3,3.37,3.37,68891000
2013/10/22,3.32,3.34,3.12,3.18,3.18,92506500
2013/10/23,3.2,3.25,3.04,3.14,3.14,65948000
2013/10/24,3.21,3.3,3.16,3.23,3.23,43033200
2013/10/25,3.29,3.39,3.29,3.34,3.34,43346300
2013/10/28,3.38,3.39,3.32,3.32,3.32,23820500
2013/10/29,3.34,3.37,3.32,3.33,3.33,15816500
2013/10/30,3.35,3.36,3.3,3.3,3.3,16208000
2013/10/31,3.31,3.35,3.25,3.34,3.34,18062700
2013/11/1,3.37,3.37,3.3,3.31,3.31,14422000
2013/11/4,3.34,3.38,3.29,3.32,3.32,16749400
2013/11/5,3.32,3.35,3.29,3.33,3.33,14003100
2013/11/6,3.33,3.35,3.3,3.32,3.32,15065300
2013/11/7,3.33,3.33,3.23,3.28,3.28,18856200
